leeftijd,aantal
0,114059
1,120071
2,116964
3,120787
4,122585
5,124409
6,127389
7,128739
8,132302
9,132867
10,136125
11,137586
12,139809
13,138835
14,139277
15,136382
16,135473
17,132674
18,132352
19,130332
20,130323
21,133359
22,137434
23,137386
24,139215
25,142296
26,143685
27,144165
28,145524
29,150638
30,155361
31,157287
32,157207
33,154965
34,155090
35,152303
36,152081
37,149249
38,150196
39,150192
40,153114
41,154613
42,156408
43,153662
44,151453
45,149503
46,147195
47,144795
48,148391
49,150961
50,155183
51,157807
52,158805
53,156537
54,155487
55,155174
56,158342
57,160959
58,164550
59,160438
60,156036
61,154478
62,151314
63,149874
64,144696
65,139743
66,135246
67,131722
68,127332
69,122649
70,119799
71,113268
72,112204
73,109629
74,108511
75,104916
76,102633
77,84562
78,81851
79,75036
80,63972
81,55985
82,59359
83,61364
84,58401
85,52452
86,47056
87,42069
88,38445
89,33529
90,29755
91,25047
92,20628
93,15279
94,11488
95,8559
96,6221
97,4455
98,3018
99,1893
100,1200
101,700
102,400
103,250
104,100
105,46
106,25
107,10
108,1
109,0
110,1
