Name of station,type (MAG VAR/year),ID,Frequency (CH),Hours of operation,Breedtegraad (NB),Lengtegraad (OL),DME antenna ELEV
Affligem,DVOR/DME (1 graden E/2020),AFI,114.900 MHZ (CH 96X),H24,505428,0040820,300 FT AMSL
Antwerpen,DVOR/DME (1 graden E/2020),ANT,113.500 MHZ (CH 82X),H24,511126,0042821,100 FT AMSL
Beauvechain,TACAN (1 graden E/2017),BBE,(CH 107X),H24,504525,0044607,300 FT AMSL
Kleine-Brogel,TACAN (2 graden E/2019),BBL,(CH 33X),H24,511003,0052751,200 FT AMSL
Florennes,TACAN (2 graden E/2020),BFS,(CH 52X),H24,501429,0043912,1000 FT AMSL
Brussels,DVOR/DME (1 graden E/2020),BUB,114.600 MHZ (CH 93X),H24,505408,0043217,200 FT AMSL
Bruno,DVOR/DME (1 graden E/2020),BUN,110.600 MHZ (CH 43X),H24,510707,0045032,100 FT AMSL
Chievres,DVOR 1 graden E/2020),CIV,113.200 MHZ,H24,503426,0034958, 
Chievres,TACAN (1 graden E/2011),CIV,(CH 79X),H24,503420,0034918,200 FT AMSL 
Costa,DVOR/DME (1 graden E/2020),COA,110.050 MHZ (CH 37Y),H24,512053,0032119,0 FT AMSL
Diekirch,DVOR/DME/NDB (2 graden E/2020),DIK,114.400 MHZ (CH 91X) 307.000 KHZ,H24,495141,0060747,1100 FT AMSL
Luxembourg,NDB,ELU,368.500 KHZ,H24,494047,0062119, 
Flora,DVOR/DME (2 graden E/2020),FLO,112.050 MHZ (CH 57Y),H24,505236,0050804,100 FT AMSL
Gosly,DVOR/DME (1 graden E/2020),GSY,115.700 MHZ (CH 104X),H24,502714,0042629,600 FT AMSL
Huldenberg,DVOR/DME (1 graden E/2020),HUL,117.550 MHZ (CH 122Y),H24,504458,0043830,400 FT AMSL 
Koksy,VORTAC (1 graden E/2020),KOK,114.500 MHZ (CH 92X),H24,510541,0023906,0 FT AMSL 
Koksy,TACAN (1 graden E/2017),KOK,(CH 92X),H24,510557,0023920,0 FT AMSL 
Liege,DVOR/DME (2 graden E/2020),LGE,115.450 MHZ(CH 101Y),H24,503914,0052814,600 FT AMSL
Olno,DVOR/DME (2 graden E/2020),LNO,112.800 MHZ (CH 75X),H24,503509,0054237,900 FT AMSL 
Luxembourg,DVOR/DME (2 graden E/2020),LUX,112.250 MHZ (CH 59Y),H24,493822,0061450,1200 FT AMSL
Mackel,NDB,MAK,360.500 KHZ,H24,505752,0032947, 
Maastricht,VOR/DME (2 graden E/2020),MAS,108.600 MHZ (CH 23X),H24,505819,0055738,  
Nicky,DVOR/DME (1E graden /2020),NIK,117.400 MHZ (CH 121X),H24,510954,0041102,100 FT AMSL 
Charleroi,NDB,ONC,323.000 KHZ,H24,502922,0043319, 
Liege,NDB,ONL,290.000 KHZ,H24,504204,0053257, 
Oostende,NDB,ONO,399.500 KHZ,H24,511313,0030042, 
Antwerpen,NDB,ONW,355.000 KHZ,H24,511003,0043358, 
Sprimont,DVOR/DME (2 graden E/2020),SPI,113.100 MHZ (CH 78X),H24,503053,0053725,1000 FT AMSL 
Luxembourg,NDB,WLU,346.000 KHZ,H24,493404,0060315, 





