dag,maand,jaar,gevallen,doden,land
29,3,2020,1850,64,Belgium
28,3,2020,1049,69,Belgium
27,3,2020,1298,42,Belgium
26,3,2020,668,56,Belgium
25,3,2020,526,34,Belgium
24,3,2020,342,13,Belgium
23,3,2020,586,8,Belgium
22,3,2020,558,30,Belgium
21,3,2020,462,16,Belgium
20,3,2020,309,7,Belgium
19,3,2020,243,9,Belgium
18,3,2020,158,0,Belgium
17,3,2020,199,1,Belgium
16,3,2020,197,0,Belgium
15,3,2020,130,1,Belgium
14,3,2020,160,0,Belgium
13,3,2020,85,0,Belgium
12,3,2020,47,3,Belgium
11,3,2020,28,0,Belgium
10,3,2020,39,0,Belgium
9,3,2020,31,0,Belgium
8,3,2020,60,0,Belgium
7,3,2020,59,0,Belgium
6,3,2020,27,0,Belgium
5,3,2020,10,0,Belgium
4,3,2020,5,0,Belgium
3,3,2020,6,0,Belgium
2,3,2020,1,0,Belgium
1,3,2020,0,0,Belgium
29,2,2020,0,0,Belgium
28,2,2020,0,0,Belgium
27,2,2020,0,0,Belgium
26,2,2020,0,0,Belgium
25,2,2020,0,0,Belgium
24,2,2020,0,0,Belgium
23,2,2020,0,0,Belgium
22,2,2020,0,0,Belgium
21,2,2020,0,0,Belgium
20,2,2020,0,0,Belgium
19,2,2020,0,0,Belgium
18,2,2020,0,0,Belgium
17,2,2020,0,0,Belgium
16,2,2020,0,0,Belgium
15,2,2020,0,0,Belgium
14,2,2020,0,0,Belgium
13,2,2020,0,0,Belgium
12,2,2020,0,0,Belgium
11,2,2020,0,0,Belgium
10,2,2020,0,0,Belgium
9,2,2020,0,0,Belgium
8,2,2020,0,0,Belgium
7,2,2020,0,0,Belgium
6,2,2020,0,0,Belgium
5,2,2020,0,0,Belgium
4,2,2020,1,0,Belgium
3,2,2020,0,0,Belgium
2,2,2020,0,0,Belgium
1,2,2020,0,0,Belgium
31,1,2020,0,0,Belgium
30,1,2020,0,0,Belgium
29,1,2020,0,0,Belgium
28,1,2020,0,0,Belgium
27,1,2020,0,0,Belgium
26,1,2020,0,0,Belgium
25,1,2020,0,0,Belgium
24,1,2020,0,0,Belgium
23,1,2020,0,0,Belgium
22,1,2020,0,0,Belgium
21,1,2020,0,0,Belgium
20,1,2020,0,0,Belgium
19,1,2020,0,0,Belgium
18,1,2020,0,0,Belgium
17,1,2020,0,0,Belgium
16,1,2020,0,0,Belgium
15,1,2020,0,0,Belgium
14,1,2020,0,0,Belgium
13,1,2020,0,0,Belgium
12,1,2020,0,0,Belgium
11,1,2020,0,0,Belgium
10,1,2020,0,0,Belgium
9,1,2020,0,0,Belgium
8,1,2020,0,0,Belgium
7,1,2020,0,0,Belgium
6,1,2020,0,0,Belgium
5,1,2020,0,0,Belgium
4,1,2020,0,0,Belgium
3,1,2020,0,0,Belgium
2,1,2020,0,0,Belgium
1,1,2020,0,0,Belgium
31,12,2019,0,0,Belgium
