GRIP,ARM
105.5,80.5
106.5,93
94,81
90.5,33.5
104,47.5
171,125.5
107.5,81.5
124.5,83.5
87,65
102.5,77.5
119,54.5
54,68.5
119,101
88.5,109.5
157.5,103.5
110,79.5
92.5,85
99.5,91.5
109,63.5
114,94
92,96.5
138,84.5
91.5,64
189,122
115,101.5
121,84
128.5,93.5
128,84
82,39
128.5,88
118,70.5
104.5,69.5
122.5,66.5
88,25
105,63.5
127,104.5
120.5,86
103,85.5
115.5,36
78,69.5
94.5,88.5
99,62
115,96.5
122,90.5
91.5,71
117.5,61.5
99,80
121.5,106.5
99.5,44
89,77
92.5,85
124.5,106
130.5,104.5
103,52.5
103,89.5
153,132
111.5,95
131,77.5
129,58.5
112,83
94,97.5
106,94.5
109.5,104.5
118.5,94.5
120.5,95
77,29
130,84
118.5,113.5
98.5,69.5
93,61
76,47
80.5,36
85,83
114.5,82.5
128,79.5
146,108
125,108
153,67
103,64.5
81.5,55
107,70.5
113,96
123.5,69
82,78
100.5,51
95,64.5
75.5,57.5
131,93
98.5,65.5
119.5,88.5
99,75.5
101,89
152.5,97
64,48.5
91,59.5
123,96.5
111.5,70.5
112.5,69.5
86.5,60
142,115
71,66
95.5,89
136.5,90
94.5,62.5
90.5,64.5
111.5,95.5
111,101
119,82.5
119.5,90.5
134,103.5
134,89
132.5,83.5
121.5,89
91.5,73
173.5,117
128.5,80
144.5,94
29,19
135,101.5
89,60
87,101.5
104.5,69
120,100
117.5,56.5
100,75.5
92,57
124.5,82
103.5,77
54.5,35
136,90.5
124.5,76.5
97.5,58.5
114,62
127.5,95.5
104,68.5
141,113
84.5,83
123,66.5
133.5,87.5
132.5,99
82.5,57.5
131,86
147,71
109.5,86.5
54,67.5
126,63.5
94,38
