hero1,hero2
4-D MAN/MERCURIO,"FURY, COL. NICHOLAS "
A'YIN,CAPTAIN BRITAIN/BRIA
A'YIN,NIGHTCRAWLER/KURT WA
ABEL,CANNONBALL II/SAM GU
ABSORBING MAN/CARL C,"ROBERTSON, MARTHA"
ABSORBING MAN/CARL C,"MURDOCK, BATTLING JA"
ABSORBING MAN/CARL C,VIZIER
ABSORBING MAN/CARL C,HERCULES [GREEK GOD]
ABSORBING MAN/CARL C,WASP/JANET VAN DYNE 
ABSORBING MAN/CARL C,WASP/JANET VAN DYNE 
ABSORBING MAN/CARL C,PHARAOH RAMA-TUT
ABSORBING MAN/CARL C,GALACTUS/GALAN
ABSORBING MAN/CARL C,JAGRFELM [ASGARDIAN]
ABSORBING MAN/CARL C,QUASAR III/WENDELL V
ABSORBING MAN/CARL C,LIZARD/DR. CURTIS CO
ABSORBING MAN/CARL C,BALDER [ASGARDIAN]
ABSORBING MAN/CARL C,SHE-HULK/JENNIFER WA
ABSORBING MAN/CARL C,ENCHANTRESS/AMORA/HE
ABSORBING MAN/CARL C,EON
"ACHEBE, REVEREND DOC",WASP/JANET VAN DYNE 
"ACHEBE, REVEREND DOC","RASPUTIN, LUCIFER"
"ACHEBE, REVEREND DOC",RAMONDA
ACHILLES II/HELMUT,"ANDREWS, DARYL TROOP"
ACHILLES II/HELMUT,DELPHI
ACHILLES II/HELMUT,PROMETHEUS II
ACHILLES II/HELMUT,"JONES, MARLO CHANDLE"
ADAM X,BISHOP /
"ADAMS, CINDY",STARSHINE II/BRANDY 
"ADAMS, CINDY",FORGE
"ADAMS, NICOLE NIKKI",COCKROACH/
"ADAMS, NICOLE NIKKI",MALICE V/NAKIA
ADORA,HUMAN TORCH/JOHNNY S
ADVA,HOGUN [ASGARDIAN]
ADVA,HESCAMAR/MARNOT [ASG
ADVERSARY,AVALANCHE/DOMINIC PE
AENTAROS,"MERRYWEATHER, IRENE"
AGAMEMNON III/,PROMETHEUS II
AGED GENGHIS,"INSHALLAH, KHALID"
"AGEE, DR. AUBREY",PUCK/EUGENE MILTON J
AGONY/,WARLOCK II/ADAM WARL
AHAB/RORY CAMPBELL,SPIRAL
AHAB/RORY CAMPBELL,MARROW/SARAH 
AHURA,HUNTARA/MARY ELIZABE
AINET,SHADOW KING/AMAHL FA
AIREO/AEOLUS [INHUMA,TRITON
AIREO/AEOLUS [INHUMA,GORGON [INHUMAN]
AIREO/AEOLUS [INHUMA,HULK/DR. ROBERT BRUC
AIREO/AEOLUS [INHUMA,WATER WIZARD/PETE
AJAK/TECUMOTZIN [ETE,HARVEST/CHI LO
AJAX,ULYSSES II
AJAX II,PATCH II
ALCHEMY/THOMAS JONES,"GREY, DR. JOHN"
"ALDEN, PROF. MEREDIT",WASP/JANET VAN DYNE 
"ALEXANDER, CARRIE",NAMORITA/NITA PRENTI
"ALEXANDER, CARRIE",PUNISHER II/FRANK CA
"ALEXANDER, CARRIE","WATSON, KRISTY"
ALFY,SUNSPOT/ROBERTO DACO
"ALOUETTE, GENARD",X-CUTIONER/CARL DENT
"ALRAUNE, MARLENE",PUNISHER II/FRANK CA
"ALRAUNE, MARLENE",MICROCHIP/LINUS LIEB
"ALRAUNE, MARLENE",MOON KNIGHT/MARC SPE
"ALRAUNE, MARLENE",SPIDER-MAN/PETER PAR
"ALVAREZ, FELIX","ZIMMER, ABE"
AMERICAN EAGLE III/J,HULK/DR. ROBERT BRUC
AMERICAN EAGLE III/J,VISION 
AMERICAN EAGLE III/J,"PEREGRINE, LE/FRANCK"
AMERICOP/,DIAMONDBACK II/RACHE
AMERICOP/,"DRAN, DAMON"
AMIKO,SUNFIRE/SHIRO YOSHID
AMIKO,ZARAN/MAXIMILLIAN ZA
AMPHARON,PAPA HAGG
AMPHIBIAN/KINGLEY RI,GOLDEN ARCHER II/WYA
AMPHIBIAN/KINGLEY RI,WHIZZER II/STANLEY S
AMPHIBIAN/KINGLEY RI,WHIZZER II/STANLEY S
AMPHIBIAN/KINGLEY RI,BEAST/HENRY &HANK& P
AMPHIBIUS,PROFESSOR X/CHARLES 
ANACONDA/BLANCHE SIT,SIDEWINDER/SETH VOEL
ANACONDA/BLANCHE SIT,WHIPLASH II/
ANACONDA/BLANCHE SIT,STEEPLEJACK II/MAXWE
ANACONDA/BLANCHE SIT,ROCK PYTHON
ANACONDA/BLANCHE SIT,BLACK MAMBA/TANYA SE
ANACONDA/BLANCHE SIT,BUSHMASTER II/QUINCY
ANACONDA/BLANCHE SIT,IMPALA/
ANAK,VOLSTAGG
ANAK,LOGA II
ANAK,BALDER [ASGARDIAN]
ANALYZER,VOLSTAGG
ANALYZER,ANGEL/WARREN KENNETH
ANALYZER,THOR/DR. DONALD BLAK
ANALYZER,LEIR
"ANDREWS, DARYL TROOP","NORTH, DAKOTA"
ANDROMEDA/ANDROMEDA ,QUICKSILVER/PIETRO M
ANDROMEDA/ANDROMEDA ,SET
ANDROS,SPIDER-MAN CLONE/BEN
ANELLE,DORREK [SKRULL]
ANGAR THE SCREAMER/D,MISTER HYDE/CALVIN Z
ANGEL IV,KINGPIN/WILSON FISK
ANGEL IV,"WATSON-PARKER, MARY "
ANGEL/WARREN KENNETH,UNUS THE UNTOUCHABLE
ANGEL/WARREN KENNETH,NINA
ANGEL/WARREN KENNETH,GOMURR
ANGEL/WARREN KENNETH,WOLVERINE/LOGAN 
ANGEL/WARREN KENNETH,MARVEL GIRL DOPPELGA
ANGEL/WARREN KENNETH,CRYSTAL [INHUMAN]
ANGEL/WARREN KENNETH,"MACTAGGERT, MOIRA KI"
ANGEL/WARREN KENNETH,PROFESSOR X/CHARLES 
ANGEL/WARREN KENNETH,PROFESSOR X/CHARLES 
ANGEL/WARREN KENNETH,COPYCAT/VANESSA
ANGEL/WARREN KENNETH,SCARLET WITCH/WANDA 
ANGEL/WARREN KENNETH,CYCLOPS DOPPELGANGER
ANGEL/WARREN KENNETH,SHAMAN/MICHAEL TWOYO
ANGEL/WARREN KENNETH,ENTITY II
ANGEL/WARREN KENNETH,BEAST/HENRY &HANK& P
ANGEL/WARREN KENNETH,BEAST/HENRY &HANK& P
ANGEL/WARREN KENNETH,BEAST/HENRY &HANK& P
ANGEL/WARREN KENNETH,BEAST/HENRY &HANK& P
ANGEL/WARREN KENNETH,BEAST/HENRY &HANK& P
ANGEL/WARREN KENNETH,HERCULES [GREEK GOD]
ANGEL/WARREN KENNETH,HERCULES [GREEK GOD]
ANGEL/WARREN KENNETH,THING/BENJAMIN J. GR
ANGEL/WARREN KENNETH,ICEMAN/ROBERT BOBBY 
ANGEL/WARREN KENNETH,ICEMAN/ROBERT BOBBY 
ANGEL/WARREN KENNETH,ICEMAN/ROBERT BOBBY 
ANGEL/WARREN KENNETH,ICEMAN/ROBERT BOBBY 
ANGEL/WARREN KENNETH,NIGHTCRAWLER/KURT WA
ANGEL/WARREN KENNETH,MAINFRAME II
ANGEL/WARREN KENNETH,"ROM, SPACEKNIGHT"
ANGEL/WARREN KENNETH,MARVEL GIRL/JEAN GRE
ANGEL/WARREN KENNETH,MARVEL GIRL/JEAN GRE
ANGEL/WARREN KENNETH,MARVEL GIRL/JEAN GRE
ANGEL/WARREN KENNETH,GUARDIAN/JAMES MACDO
ANGEL/WARREN KENNETH,VISION 
ANGEL/WARREN KENNETH,SPAT
ANGEL/WARREN KENNETH,CYCLOPS/SCOTT SUMMER
ANGEL/WARREN KENNETH,CYCLOPS/SCOTT SUMMER
ANGEL/WARREN KENNETH,GAMBIT/REMY LEBEAU 
ANGEL/WARREN KENNETH,BATROC/GEORGES BATRO
ANGEL/WARREN KENNETH,SHIP
ANGEL/WARREN KENNETH,COLOSSUS II/PETER RA
ANGEL/WARREN KENNETH,STORM/ORORO MUNROE S
ANGEL/WARREN KENNETH,STORM/ORORO MUNROE S
ANGEL/WARREN KENNETH,X-MAN/NATHAN GREY 
ANGEL/WARREN KENNETH,APOCALYPSE/EN SABAH 
ANGEL/WARREN KENNETH,MYSTIQUE/RAVEN DARKH
ANGEL/WARREN KENNETH,NIGHT THRASHER/DUANE
ANGEL/WARREN KENNETH,"WISDOM, PETER"
ANGEL/WARREN KENNETH,MARX
ANGEL/WARREN KENNETH,PSYLOCKE/ELISABETH B
ANGEL/WARREN KENNETH,SUNSPOT/ROBERTO DACO
ANGEL/WARREN KENNETH,FORGE
ANGEL/WARREN KENNETH,DEATHBIRD [SHI'AR]
ANGEL/WARREN KENNETH,HEX/DOMINIC DESTINE
ANGEL/WARREN KENNETH,ODIN [ASGARDIAN]
ANGEL/WARREN KENNETH,"WEI, LINDA"
ANGEL/WARREN KENNETH,CAPTAIN AMERICA
ANGEL/WARREN KENNETH,SILHOUETTE
ANGEL/WARREN KENNETH,"SUMMERS, NATHAN CHRI"
ANGEL/WARREN KENNETH,TRITON
ANGEL/WARREN KENNETH,WONDER MAN/SIMON WIL
ANGEL/WARREN KENNETH,"MASTERS, ALICIA REIS"
ANIMATOR/DR. FREDRIC,MAGNETO/MAGNUS/ERIC 
ANIMATOR/DR. FREDRIC,WARLOCK III
ANNALEE,CALLISTO
ANNALEE,GEE/ALEX POWER
ANNIHILUS,THING/BENJAMIN J. GR
ANNIHILUS,THING/BENJAMIN J. GR
ANNIHILUS,"AUSTIN, SUSAN"
ANNIHILUS,CAPTAIN MARVEL/CAPTA
ANNIHILUS,THUNDRA
ANNIHILUS,HAWK
ANNIHILUS,"JARVIS, EDWIN "
ANT-MAN II/SCOTT HAR,HULK/DR. ROBERT BRUC
ANT-MAN II/SCOTT HAR,SCANNER II
ANT-MAN II/SCOTT HAR,HELLSCOUT/KENNETH TE
ANT-MAN II/SCOTT HAR,SABRA/RUTH BAT-SERAP
ANT-MAN II/SCOTT HAR,IRON MAN IV/JAMES R.
ANT-MAN II/SCOTT HAR,MR. FANTASTIC/REED R
ANT-MAN II/SCOTT HAR,FORGOTTEN ONE/GILGAM
ANT-MAN II/SCOTT HAR,YELLOWJACKET II/RITA
